Participant,C,P,Piece,Condition,Moving,Dynamic,Alive,Metallic,Spiky,Travelling,Mechanical,Moist,Chaotic,Threatening,Warping,Chronological,Aggressive,Unfinished,Near,Textured,Engulfing,Static,Violent,Detailed,Hollow,Scratching,Light,Expanding
53,1,N,Smooth,Object,19,63,7,0,0,30,0,79,0,0,100,0,0,100,100,0,44,0,0,0,0,0,0,100
53,1,P,Rough,Object,85,84,76,48,100,1,0,61,100,97,70,0,99,98,70,100,99,0,100,100,1,100,0,100
54,6,B,Tree,Object,12,29,11,12,49,5,5,4,3,25,12,14,35,2,18,70,36,94,37,68,24,68,45,5
54,6,G,Plate,Object,9,61,27,37,6,19,44,2,55,18,13,8,7,37,5,50,30,69,12,62,16,12,12,10
54,6,J,Smooth,Combo,12,64,80,12,7,7,73,4,44,63,20,7,47,61,23,4,16,40,57,14,5,8,2,15
54,6,M,Rough,Combo,8,48,40,5,74,7,70,7,82,70,46,17,68,63,29,60,15,54,64,35,11,9,14,9
55,6,B,Tree,Object,60,15,66,12,5,35,12,19,55,46,55,28,64,70,48,62,29,74,35,59,30,12,37,40
55,6,G,Plate,Object,20,52,25,28,8,12,44,15,49,27,51,15,27,9,45,73,35,56,40,65,42,49,37,56
55,6,J,Smooth,Combo,21,35,40,29,16,54,46,39,12,35,61,54,42,6,26,45,48,62,17,40,18,10,30,23
55,6,M,Rough,Combo,48,64,12,40,44,49,57,34,62,53,57,34,61,66,20,59,28,39,62,55,35,47,22,50
57,6,B,Tree,Object,3,3,3,4,3,2,3,2,4,3,4,4,3,4,1,97,4,98,1,96,1,57,41,12
57,6,G,Plate,Object,20,42,1,89,1,65,3,0,1,1,3,1,2,99,29,0,0,99,2,99,29,21,21,12
57,6,J,Smooth,Combo,5,37,62,1,1,3,14,62,66,4,2,4,34,98,7,31,34,55,3,1,1,35,45,10
57,6,M,Rough,Combo,26,39,40,22,65,5,15,40,97,65,49,14,82,88,13,93,72,71,70,35,5,65,3,4
58,6,B,Tree,Object,7,14,54,0,17,3,0,3,17,21,30,14,4,2,52,100,38,73,7,100,1,83,35,16
58,6,G,Plate,Object,5,73,10,4,0,6,0,0,22,11,0,18,7,0,29,21,37,73,9,100,4,0,14,8
58,6,J,Smooth,Combo,4,38,15,7,1,4,78,48,58,13,23,5,10,32,49,99,42,60,53,26,60,1,7,21
58,6,M,Rough,Combo,2,65,42,20,80,8,34,53,93,97,71,11,71,36,60,92,97,86,98,75,20,90,7,15
17105,9,S1,Tree,Sound,11,14,21,57,36,39,66,2,96,81,42,6,40,42,40,20,62,73,19,12,3,65,2,18
17105,9,S2,Plate,Sound,5,4,10,63,61,14,69,1,10,34,6,3,13,12,12,6,4,95,10,4,15,84,3,33
17105,9,S3,Smooth,Sound,4,5,9,87,23,17,15,1,6,48,10,6,27,65,59,16,9,10,32,5,3,97,2,2
17105,9,S4,Rough,Sound,20,29,0,13,30,16,63,2,50,87,78,48,57,31,61,37,90,54,67,26,11,88,5,19
17250,9,S1,Tree,Sound,52,75,25,90,91,57,88,0,100,89,0,0,79,0,0,0,0,0,89,0,54,0,0,0
17250,9,S2,Plate,Sound,0,6,0,11,90,47,78,0,74,100,19,0,100,87,0,0,0,50,100,0,53,83,24,22
17250,9,S3,Smooth,Sound,100,81,3,89,78,100,85,0,16,0,0,0,6,0,63,84,15,0,0,8,85,100,23,82
17250,9,S4,Rough,Sound,87,51,61,61,66,100,90,0,94,88,49,0,87,0,50,30,60,0,91,14,95,92,13,53
17905,9,S1,Tree,Sound,0,8,1,74,59,73,77,0,11,32,51,10,42,12,53,73,23,73,25,79,82,19,0,30
17905,9,S2,Plate,Sound,0,15,11,100,89,55,99,0,12,72,72,55,65,18,85,93,34,28,45,59,12,82,4,49
17905,9,S3,Smooth,Sound,31,70,65,91,27,75,88,11,77,39,45,31,40,40,23,54,30,52,32,72,84,85,8,34
17905,9,S4,Rough,Sound,89,86,28,33,69,82,22,4,24,54,70,22,62,64,73,76,44,34,38,65,6,62,7,32
18246,9,S1,Tree,Sound,47,17,65,82,15,40,62,18,27,51,36,16,56,41,11,62,66,29,51,36,22,23,8,61
18246,9,S2,Plate,Sound,24,33,25,58,60,35,73,16,61,58,48,24,31,27,44,48,39,51,29,37,18,62,27,29
18246,9,S3,Smooth,Sound,80,61,14,13,19,24,9,2,2,2,2,53,2,72,49,31,24,27,13,8,7,98,27,32
18246,9,S4,Rough,Sound,72,53,88,94,43,53,56,78,71,96,87,42,64,38,55,73,92,25,81,75,5,70,5,79
18264,9,S1,Tree,Sound,7,29,5,51,13,33,12,12,85,4,83,7,20,61,32,72,46,17,9,86,85,5,33,43
18264,9,S2,Plate,Sound,23,21,17,68,69,17,91,5,10,59,47,6,32,67,58,78,21,8,18,19,13,59,13,75
18264,9,S3,Smooth,Sound,37,73,11,2,47,71,4,5,51,57,30,32,69,70,81,71,26,5,56,69,69,83,1,26
18264,9,S4,Rough,Sound,68,68,25,1,0,66,15,9,48,33,85,22,23,21,74,83,41,18,3,14,4,4,3,46
18278,9,S1,Tree,Sound,8,8,23,4,9,16,31,4,18,23,85,31,16,36,8,12,11,10,6,6,18,6,5,7
18278,9,S2,Plate,Sound,5,6,8,24,54,6,59,5,8,42,15,7,8,4,54,13,6,51,19,8,5,43,7,6
18278,9,S3,Smooth,Sound,7,11,38,6,9,8,8,8,7,83,49,8,20,12,88,14,12,23,60,19,49,57,10,10
18278,9,S4,Rough,Sound,5,5,22,28,52,6,1,3,5,95,82,6,63,11,88,13,45,21,85,13,10,26,0,14
18286,9,S1,Tree,Sound,7,59,88,57,13,64,24,3,33,40,94,4,12,61,21,81,71,43,16,35,71,12,12,46
18286,9,S2,Plate,Sound,22,42,24,61,33,76,100,3,18,23,21,8,21,13,79,19,9,6,15,4,10,54,0,21
18286,9,S3,Smooth,Sound,0,10,9,4,7,15,22,0,0,13,6,9,8,26,47,16,0,0,5,7,22,62,7,11
18286,9,S4,Rough,Sound,19,73,76,47,65,68,47,14,71,100,74,14,89,12,20,91,84,11,75,21,9,34,9,92
18294,9,S1,Tree,Sound,11,27,35,67,43,18,72,3,80,72,21,34,70,57,1,7,2,16,73,7,44,34,5,8
18294,9,S2,Plate,Sound,5,20,6,67,24,7,62,6,11,57,14,38,28,4,35,3,5,100,36,3,77,93,5,4
18294,9,S3,Smooth,Sound,4,4,16,72,57,4,84,2,64,81,7,6,51,15,57,27,9,93,78,30,10,99,1,1
18294,9,S4,Rough,Sound,3,5,19,24,7,13,22,3,22,51,13,30,39,17,18,19,11,65,40,34,70,54,21,9
18308,9,S1,Tree,Sound,0,49,0,72,58,0,0,0,89,0,64,78,0,0,57,18,0,13,0,91,22,48,69,72
18308,9,S2,Plate,Sound,16,6,0,0,0,9,16,0,78,27,21,16,15,0,84,0,72,100,0,67,0,71,48,70
18308,9,S3,Smooth,Sound,100,77,7,70,0,99,3,3,39,8,0,29,5,26,80,62,67,0,0,52,62,76,0,1
18308,9,S4,Rough,Sound,100,82,64,0,0,100,56,0,65,71,91,75,70,65,47,0,90,36,63,75,8,1,13,20
18313,9,S1,Tree,Sound,66,55,15,98,9,17,75,6,74,54,89,12,11,0,66,68,32,87,21,50,67,8,39,62
18313,9,S2,Plate,Sound,7,8,4,96,87,12,96,7,21,48,99,15,46,0,74,77,77,90,36,61,51,94,55,7
18313,9,S3,Smooth,Sound,91,84,74,60,60,89,8,26,15,12,31,5,11,1,16,83,9,10,13,57,24,93,46,9
18313,9,S4,Rough,Sound,99,35,70,80,68,64,95,4,16,86,37,51,85,1,49,83,69,15,82,73,10,94,0,49
18317,9,S1,Tree,Sound,10,21,46,58,32,4,53,2,12,5,43,10,5,11,36,39,69,7,6,28,56,10,53,28
18317,9,S2,Plate,Sound,7,18,11,40,57,8,40,4,42,62,9,9,8,50,28,12,16,100,20,18,71,100,9,12
18317,9,S3,Smooth,Sound,7,29,56,20,21,19,26,2,44,7,53,24,7,40,22,39,49,8,5,12,61,79,22,15
18317,9,S4,Rough,Sound,24,32,45,72,66,11,87,1,35,97,15,11,64,8,11,54,29,43,66,20,43,50,6,9
18322,9,S1,Tree,Sound,15,82,9,89,10,12,9,50,54,15,86,79,16,11,11,88,53,8,11,68,77,15,100,11
18322,9,S2,Plate,Sound,16,14,37,77,20,52,84,12,48,18,16,73,20,34,18,55,74,26,18,19,48,17,26,82
18322,9,S3,Smooth,Sound,12,66,18,73,28,11,100,14,100,36,26,12,68,100,21,72,18,69,80,15,11,92,8,38
18322,9,S4,Rough,Sound,99,15,91,15,17,100,72,17,18,15,23,13,10,12,100,11,79,41,16,52,12,9,11,46
18323,9,S1,Tree,Sound,56,66,63,62,77,83,59,66,82,40,89,45,12,88,92,72,62,5,7,35,85,13,68,74
18323,9,S2,Plate,Sound,2,2,2,76,49,2,95,3,3,50,94,47,15,96,83,75,77,95,8,57,95,95,3,7
18323,9,S3,Smooth,Sound,26,33,53,8,59,58,5,3,68,4,5,5,5,1,95,76,66,5,4,32,72,97,28,39
18323,9,S4,Rough,Sound,4,79,74,79,89,79,79,63,81,95,83,69,89,59,94,96,95,3,80,59,4,88,4,75
18351,9,S1,Tree,Sound,53,73,79,84,58,79,85,33,39,22,98,47,19,0,0,89,82,29,40,27,62,57,25,70
18351,9,S2,Plate,Sound,73,49,70,99,95,64,94,2,75,57,75,46,54,82,82,78,48,23,36,52,54,95,0,65
18351,9,S3,Smooth,Sound,91,23,33,100,55,33,84,0,51,76,73,58,71,70,25,80,54,0,39,31,85,100,13,42
18351,9,S4,Rough,Sound,66,58,77,85,28,68,98,21,52,20,82,48,37,28,78,87,84,64,31,34,78,30,31,75
18373,9,S1,Tree,Sound,71,53,23,74,23,62,57,2,77,39,80,1,37,45,68,29,37,1,15,45,23,12,5,33
18373,9,S2,Plate,Sound,25,9,1,37,53,5,57,0,26,18,11,1,0,12,46,74,9,91,7,23,0,83,0,4
18373,9,S3,Smooth,Sound,54,68,1,86,10,56,9,2,47,79,2,22,30,58,65,71,38,4,33,74,7,93,3,5
18373,9,S4,Rough,Sound,73,56,21,56,15,77,66,2,66,78,63,2,44,52,70,59,13,7,68,56,5,57,5,61
18384,9,S1,Tree,Sound,85,17,92,76,11,71,19,3,94,20,75,17,27,77,55,25,52,6,17,29,5,7,9,36
18384,9,S2,Plate,Sound,23,53,21,64,14,12,48,7,39,54,72,54,29,85,30,18,18,62,23,18,45,93,13,37
18384,9,S3,Smooth,Sound,100,68,57,16,81,31,4,3,45,7,11,64,5,14,58,51,41,4,4,12,41,90,48,43
18384,9,S4,Rough,Sound,66,54,28,3,35,78,15,4,35,89,90,47,67,13,94,86,38,7,53,88,9,10,10,78
18392,9,S1,Tree,Sound,27,16,13,11,14,8,19,31,25,9,29,35,18,33,28,8,30,14,12,23,18,5,8,14
18392,9,S2,Plate,Sound,0,38,0,40,44,1,61,0,1,20,6,0,0,33,40,1,0,58,0,0,37,80,0,0
18392,9,S3,Smooth,Sound,0,14,3,11,13,6,27,1,0,1,7,1,0,31,11,7,18,10,1,0,64,52,8,9
18392,9,S4,Rough,Sound,23,19,10,9,37,24,8,0,0,0,12,1,1,12,1,12,0,0,22,10,14,5,17,18
18393,9,S1,Tree,Sound,9,41,62,85,7,51,94,5,95,96,30,8,94,4,4,26,18,71,87,11,56,79,7,8
18393,9,S2,Plate,Sound,87,41,10,87,17,90,94,0,5,90,55,4,90,6,4,6,7,7,94,5,13,46,3,4
18393,9,S3,Smooth,Sound,12,12,3,32,18,5,44,3,23,86,31,8,64,9,3,9,7,90,43,7,39,100,4,8
18393,9,S4,Rough,Sound,13,32,91,33,4,74,9,2,75,100,75,8,100,6,3,9,18,92,100,6,34,77,4,6
18398,9,S1,Tree,Sound,50,64,51,72,83,51,83,17,52,62,57,56,70,50,54,64,54,57,64,38,71,51,28,49
18398,9,S2,Plate,Sound,17,20,20,27,52,31,36,12,29,26,31,27,17,32,12,63,38,23,29,36,42,19,19,38
18398,9,S3,Smooth,Sound,24,46,38,43,45,51,66,7,26,27,29,26,26,59,49,35,40,24,18,29,49,53,43,23
18398,9,S4,Rough,Sound,62,64,60,48,31,85,46,29,45,50,54,62,48,32,57,55,37,51,66,52,48,54,66,55
18402,9,S1,Tree,Sound,90,84,92,15,5,82,10,5,54,3,94,6,25,8,5,55,18,6,15,42,34,6,9,32
18402,9,S2,Plate,Sound,14,5,4,25,11,25,11,9,8,9,9,14,11,10,8,64,38,62,5,6,10,59,3,5
18402,9,S3,Smooth,Sound,0,14,53,100,86,4,92,3,90,11,29,2,29,3,3,3,3,3,41,3,3,100,5,4
18402,9,S4,Rough,Sound,48,31,61,3,5,69,27,4,26,17,51,5,15,4,4,28,5,4,29,6,5,36,52,7
18404,9,S1,Tree,Sound,0,67,2,24,0,10,40,0,50,40,41,18,15,69,17,33,9,1,6,43,15,0,28,35
18404,9,S2,Plate,Sound,99,15,21,88,49,49,80,0,50,63,60,0,33,58,59,84,32,0,38,61,10,69,53,0
18404,9,S3,Smooth,Sound,86,83,55,33,32,74,5,1,10,0,3,47,1,16,72,81,10,0,0,73,39,73,73,1
18404,9,S4,Rough,Sound,80,53,11,1,2,86,56,0,85,76,77,19,67,81,38,68,23,7,61,75,7,2,19,30
18430,9,S1,Tree,Sound,3,39,82,94,2,99,99,2,2,2,98,3,2,2,89,46,92,2,2,70,98,2,93,72
18430,9,S2,Plate,Sound,68,53,2,4,38,46,66,2,2,2,3,2,2,2,67,84,2,99,2,2,57,74,1,2
18430,9,S3,Smooth,Sound,98,85,93,3,28,94,25,4,50,67,3,61,31,73,19,31,8,6,67,96,93,61,19,95
18430,9,S4,Rough,Sound,89,61,57,2,2,100,58,2,2,85,98,2,2,2,96,2,42,2,2,96,98,2,92,99
18438,9,S1,Tree,Sound,16,0,0,0,18,20,17,0,38,6,100,0,0,12,0,20,10,0,0,12,0,0,0,15
18438,9,S2,Plate,Sound,0,0,0,67,33,2,100,0,29,13,31,0,52,0,0,21,2,17,71,5,13,32,0,0
18438,9,S3,Smooth,Sound,6,12,4,21,9,31,2,0,3,0,22,0,0,12,29,52,19,0,0,35,9,93,11,26
18438,9,S4,Rough,Sound,61,25,47,0,0,51,0,0,8,13,23,0,0,0,23,34,13,0,0,20,0,0,0,61
18446,9,S1,Tree,Sound,100,100,53,44,1,43,1,1,1,1,100,1,1,1,1,100,1,1,1,100,100,1,1,36
18446,9,S2,Plate,Sound,48,1,1,62,44,28,100,1,1,1,1,1,1,1,1,100,1,1,1,42,1,100,1,1
18446,9,S3,Smooth,Sound,1,42,1,100,48,23,31,1,1,1,1,1,1,1,1,61,1,11,1,37,1,100,1,1
18446,9,S4,Rough,Sound,100,99,75,87,1,99,76,1,1,1,21,1,1,1,1,70,16,1,1,32,12,1,41,80
18450,9,S1,Tree,Sound,6,42,42,71,42,57,78,19,74,73,78,67,59,51,60,67,66,81,63,46,70,57,36,75
18450,9,S2,Plate,Sound,6,43,25,26,79,36,59,10,79,45,42,34,30,61,36,87,21,94,58,53,87,92,13,11
18450,9,S3,Smooth,Sound,19,19,45,13,51,24,31,15,59,98,37,47,77,63,76,62,40,69,84,57,40,83,31,53
18450,9,S4,Rough,Sound,23,22,41,62,39,13,69,6,76,79,77,7,18,10,22,80,64,84,65,66,6,66,5,84
18481,9,S1,Tree,Sound,40,31,29,70,54,0,56,2,22,0,38,0,2,0,39,37,0,3,3,29,57,0,55,0
18481,9,S2,Plate,Sound,0,0,0,38,9,11,64,0,50,18,13,8,0,70,0,45,21,94,18,0,30,65,0,8
18481,9,S3,Smooth,Sound,89,81,65,36,0,74,0,0,0,44,37,0,0,63,70,55,45,0,0,3,57,68,0,51
18481,9,S4,Rough,Sound,74,57,53,76,66,74,62,0,47,62,64,29,23,25,78,63,65,9,24,24,59,51,20,75
18485,9,S1,Tree,Sound,3,70,23,3,3,61,43,3,90,76,75,61,64,68,79,62,18,19,68,55,54,13,2,2
18485,9,S2,Plate,Sound,28,26,24,26,34,50,55,5,26,6,92,7,3,96,56,23,7,9,6,6,4,31,4,21
18485,9,S3,Smooth,Sound,67,20,19,19,9,47,50,3,7,5,5,8,7,32,47,67,64,40,5,55,56,57,59,20
18485,9,S4,Rough,Sound,0,40,68,86,86,82,82,19,65,99,90,41,68,46,83,87,49,12,76,66,26,31,1,31
18497,9,S1,Tree,Sound,51,51,33,5,10,12,11,14,52,12,86,12,8,59,8,15,18,48,12,19,15,12,11,19
18497,9,S2,Plate,Sound,14,11,16,46,46,15,70,10,68,10,29,22,8,8,10,89,15,100,11,12,8,51,10,9
18497,9,S3,Smooth,Sound,15,13,11,16,14,62,11,10,70,68,12,11,16,54,51,49,8,17,28,7,8,100,10,16
18497,9,S4,Rough,Sound,58,55,60,11,16,76,12,10,17,52,52,8,8,8,7,13,37,9,12,9,16,35,13,9
18498,9,S1,Tree,Sound,66,23,12,91,76,90,99,1,26,34,13,9,31,1,6,40,50,38,14,4,10,19,5,46
18498,9,S2,Plate,Sound,3,12,0,85,81,0,74,1,0,7,17,97,6,0,1,13,12,100,24,20,1,82,0,41
18498,9,S3,Smooth,Sound,74,15,16,89,86,69,93,1,13,25,6,75,6,6,13,88,64,2,5,7,5,100,6,16
18498,9,S4,Rough,Sound,83,71,23,96,89,79,99,0,16,35,51,6,20,77,77,67,28,6,24,88,4,59,0,31
18499,9,S1,Tree,Sound,19,93,11,100,6,6,10,9,56,5,99,21,5,37,18,82,47,3,3,30,88,3,27,61
18499,9,S2,Plate,Sound,80,65,29,87,13,33,100,2,60,32,90,12,30,11,30,82,38,14,39,51,41,9,2,35
18499,9,S3,Smooth,Sound,49,61,36,2,41,33,4,3,71,42,3,14,37,66,44,64,5,4,33,53,13,99,5,13
18499,9,S4,Rough,Sound,66,67,75,8,9,80,17,4,52,87,53,35,60,39,62,38,67,4,46,57,44,10,2,57
18503,9,S1,Tree,Sound,10,100,74,38,36,8,100,29,100,10,75,36,13,100,89,35,10,9,9,100,24,7,8,45
18503,9,S2,Plate,Sound,8,9,7,25,100,9,100,8,70,9,67,8,10,78,57,99,7,100,7,10,40,95,16,52
18503,9,S3,Smooth,Sound,100,100,100,8,100,100,7,10,78,100,8,12,100,100,100,100,53,7,79,100,9,100,7,8
18503,9,S4,Rough,Sound,58,71,13,31,12,100,100,6,80,100,100,58,73,100,46,31,79,9,67,81,10,25,28,75
19586,9,S1,Tree,Sound,32,72,31,38,23,66,57,3,53,38,68,24,27,2,29,61,54,7,21,37,21,12,26,56
19586,9,S2,Plate,Sound,29,23,34,43,48,38,43,3,35,43,34,13,17,8,20,25,22,93,6,11,13,76,14,20
19586,9,S3,Smooth,Sound,21,3,2,2,3,26,22,2,6,8,3,2,7,2,19,22,2,9,2,4,29,94,2,2
19586,9,S4,Rough,Sound,47,43,8,13,26,58,43,3,78,67,40,3,54,4,75,69,74,20,48,37,2,34,2,50
19589,9,S1,Tree,Sound,86,35,62,87,77,69,97,10,97,91,66,4,70,89,4,8,29,91,91,64,87,93,3,6
19589,9,S2,Plate,Sound,15,13,6,43,100,3,100,1,100,98,100,16,100,100,3,37,20,100,90,32,100,100,5,5
19589,9,S3,Smooth,Sound,24,15,11,5,82,12,8,5,50,64,10,22,26,85,15,32,6,78,48,7,83,100,4,25
19589,9,S4,Rough,Sound,95,28,85,89,98,100,79,6,100,100,91,31,99,72,10,78,70,97,91,91,95,97,9,90
19632,9,S1,Tree,Sound,14,60,43,3,2,3,19,2,3,2,2,3,2,16,13,15,1,1,1,16,4,3,2,3
19632,9,S2,Plate,Sound,56,20,20,39,12,24,69,3,11,7,7,3,2,29,46,18,8,3,3,2,2,20,2,2
19632,9,S3,Smooth,Sound,18,29,20,10,10,28,32,3,10,2,1,3,2,2,13,29,2,3,3,3,22,3,1,3
19632,9,S4,Rough,Sound,3,22,51,2,2,19,3,3,21,69,1,3,29,2,44,2,3,3,41,3,3,3,2,36
19652,9,S1,Tree,Sound,6,78,22,49,5,4,11,5,53,4,44,7,5,7,7,50,9,7,6,32,16,3,3,29
19652,9,S2,Plate,Sound,53,4,5,18,9,24,74,2,10,1,8,2,3,2,1,32,2,34,3,3,2,49,3,3
19652,9,S3,Smooth,Sound,53,3,11,12,12,20,11,4,4,34,40,2,26,6,28,58,6,6,12,3,3,85,4,4
19652,9,S4,Rough,Sound,13,44,12,3,7,15,35,5,50,43,62,3,27,2,14,58,28,19,11,34,3,3,5,37
19714,9,S1,Tree,Sound,3,35,6,82,70,60,76,5,15,33,53,1,2,2,82,46,35,79,13,19,33,38,5,17
19714,9,S2,Plate,Sound,13,46,7,20,4,2,43,0,16,6,25,8,5,38,44,64,37,66,13,2,3,51,4,47
19714,9,S3,Smooth,Sound,31,55,62,54,20,26,1,0,4,14,3,38,12,2,1,58,46,53,11,25,36,69,15,27
19714,9,S4,Rough,Sound,2,42,4,14,34,16,25,7,38,51,38,28,37,47,25,70,21,42,47,28,20,23,11,4
19725,9,S1,Tree,Sound,12,49,21,19,19,23,21,11,54,13,53,15,15,70,14,58,42,19,14,37,45,16,41,20
19725,9,S2,Plate,Sound,9,23,12,52,51,13,47,13,26,37,37,15,14,100,12,17,15,100,12,4,83,53,0,0
19725,9,S3,Smooth,Sound,0,75,21,12,66,8,10,24,25,59,31,11,41,100,50,10,11,9,48,19,55,100,8,12
19725,9,S4,Rough,Sound,7,48,24,42,32,10,35,14,50,45,48,16,43,31,12,32,16,28,30,10,0,29,10,8
19772,9,S1,Tree,Sound,67,47,3,86,3,35,61,3,25,14,73,14,11,86,11,27,75,8,81,80,31,11,53,85
19772,9,S2,Plate,Sound,99,87,1,99,34,66,100,1,76,45,27,1,48,44,95,64,6,100,79,30,2,89,33,20
19772,9,S3,Smooth,Sound,98,79,5,4,4,83,73,15,91,5,2,2,25,74,93,6,10,3,6,4,93,76,10,59
19772,9,S4,Rough,Sound,99,90,81,46,4,94,94,10,89,78,92,3,52,71,79,89,89,3,38,91,21,5,90,84
19806,9,S1,Tree,Sound,0,4,21,85,6,0,20,1,24,42,87,43,53,0,69,8,50,88,64,0,42,10,37,46
19806,9,S2,Plate,Sound,23,33,19,99,4,11,96,3,23,23,23,38,59,60,21,3,73,99,59,1,58,58,55,35
19806,9,S3,Smooth,Sound,98,15,31,0,32,32,0,0,12,73,0,59,72,17,20,76,0,12,74,76,77,100,10,4
19806,9,S4,Rough,Sound,68,85,78,70,34,76,34,0,91,91,91,55,76,30,88,30,94,32,94,71,96,96,0,97
19813,9,S1,Tree,Sound,18,36,4,89,0,15,0,0,8,0,21,0,1,5,40,0,20,7,0,0,82,1,4,21
19813,9,S2,Plate,Sound,17,10,2,0,35,11,0,1,16,4,23,1,1,0,13,66,26,53,0,25,9,92,44,22
19813,9,S3,Smooth,Sound,30,15,7,0,21,3,2,0,8,19,1,1,10,8,50,61,3,2,0,21,6,100,1,0
19813,9,S4,Rough,Sound,100,71,0,49,1,99,95,1,5,8,83,2,2,1,65,0,5,77,0,41,11,1,32,24
19823,9,S1,Tree,Sound,38,72,12,82,2,38,96,2,48,78,79,2,50,14,24,31,44,54,33,11,55,4,2,38
19823,9,S2,Plate,Sound,81,32,67,54,0,82,100,2,51,51,21,0,43,9,22,58,35,35,42,47,3,84,3,4
19823,9,S3,Smooth,Sound,96,27,41,25,53,100,49,2,20,40,35,2,25,5,40,80,4,2,29,50,33,97,2,1
19823,9,S4,Rough,Sound,41,90,89,91,17,65,80,1,87,100,100,3,72,2,28,86,94,89,70,31,19,36,4,43
19851,9,S1,Tree,Sound,59,57,79,63,37,72,95,7,96,58,75,9,76,70,62,58,78,5,26,63,65,3,15,32
19851,9,S2,Plate,Sound,4,6,33,10,41,80,9,64,57,16,4,4,3,63,73,74,24,2,3,83,11,21,4,76
19851,9,S3,Smooth,Sound,82,14,11,32,12,100,68,41,53,2,4,4,13,73,71,57,52,4,0,91,38,91,72,35
19851,9,S4,Rough,Sound,100,73,58,25,70,100,11,0,81,100,99,86,50,55,16,53,90,15,90,100,60,40,15,87
19866,9,S1,Tree,Sound,23,4,3,82,2,2,2,0,0,9,8,0,0,0,100,2,0,0,12,0,0,0,0,6
19866,9,S2,Plate,Sound,0,6,6,38,36,0,19,0,1,1,0,0,0,44,0,46,0,100,0,12,0,99,39,1
19866,9,S3,Smooth,Sound,99,24,4,31,62,54,0,0,12,0,0,1,0,35,87,20,19,6,6,26,90,12,5,0
19866,9,S4,Rough,Sound,99,50,53,64,11,100,36,2,54,46,99,99,30,100,40,48,61,63,75,48,100,4,4,61
20210,9,S1,Tree,Sound,3,11,23,82,3,1,100,1,74,1,52,1,1,0,100,59,82,1,1,60,1,1,10,33
20210,9,S2,Plate,Sound,0,0,0,10,15,0,44,1,52,0,0,51,0,0,0,29,43,87,0,0,0,0,0,29
20210,9,S3,Smooth,Sound,17,0,92,85,30,31,0,0,0,0,0,23,1,1,88,100,1,1,1,77,50,100,0,1
20210,9,S4,Rough,Sound,0,0,0,0,58,9,100,0,100,100,35,0,97,0,32,1,15,0,80,50,0,96,0,0